,,Tier,,CPU,Price/ HR,Price/Month,CPU,Default Dynamic Assumption,5%
TimeSeries,Storage,Performance,AP-SOUTHEAST-1,,0.001212,0.88,,,
TimeSeries,Storage,Performance,US-WEST-2,,0.001212,0.88,,,
Dynamic Postgres,Storage,Performance,US-EAST-1,,0.00053,0.39,,,
Dynamic Postgres,Storage,Performance,EU-WEST-1,,0.00053,0.39,,,
Dynamic Postgres,Storage,Performance,EU-CENTRAL-1,,0.00053,0.39,,,
Dynamic Postgres,Storage,Performance,AP-SOUTHEAST-2,,0.00053,0.39,,,
Dynamic Postgres,Storage,Performance,US-EAST-2,,0.00053,0.39,,,
Dynamic Postgres,Storage,Performance,AP-SOUTHEAST-1,,0.00053,0.39,,,
Dynamic Postgres,Storage,Performance,US-WEST-2,,0.00053,0.39,,,
Dynamic Postgres,Compute,Performance,US-EAST-1,1-2 CPU / 8GB RAM,0.12,87.60,,,
Dynamic Postgres,Compute,Performance,US-EAST-1,2-4 CPU/ 16 GB Ram,0.24,175.20,,,
Dynamic Postgres,Compute,Performance,US-EAST-1,4-8 CPU / 32 GB Ram,0.48,350.40,,,
Dynamic Postgres,Compute,Performance,US-EAST-1,8-16 CPU / 64GB RAM,0.96,700.80,,,
Dynamic Postgres,Compute,Performance,US-EAST-1,16-32 CPU / 128 GB RAM,1.92,"1,401.60",,,
Dynamic Postgres,Compute,Performance,US-WEST-2,1-2 CPU / 8GB RAM,0.12,87.60,,,
Dynamic Postgres,Compute,Performance,US-WEST-2,2-4 CPU/ 16 GB Ram,0.24,175.20,,,
Dynamic Postgres,Compute,Performance,US-WEST-2,4-8 CPU / 32 GB Ram,0.48,350.40,,,
Dynamic Postgres,Compute,Performance,US-WEST-2,8-16 CPU / 64GB RAM,0.96,700.80,,,
Dynamic Postgres,Compute,Performance,US-WEST-2,16-32 CPU / 128 GB RAM,1.92,"1,401.60",,,
Dynamic Postgres,Compute,Performance,EU-WEST-1,1-2 CPU / 8GB RAM,0.151307,110.45,,,
Dynamic Postgres,Compute,Performance,EU-WEST-1,2-4 CPU/ 16 GB Ram,0.302614,220.91,,,
Dynamic Postgres,Compute,Performance,EU-WEST-1,4-8 CPU / 32 GB Ram,0.605228,441.82,,,
Dynamic Postgres,Compute,Performance,EU-WEST-1,8-16 CPU / 64GB RAM,1.210456,883.63,,,
Dynamic Postgres,Compute,Performance,EU-WEST-1,16-32 CPU / 128 GB RAM,2.420912,"1,767.27",,,
Dynamic Postgres,Compute,Performance,EU-CENTRAL-1,1-2 CPU / 8GB RAM,0.172153,125.67,,,
Dynamic Postgres,Compute,Performance,EU-CENTRAL-1,2-4 CPU/ 16 GB Ram,0.344306,251.34,,,
Dynamic Postgres,Compute,Performance,EU-CENTRAL-1,4-8 CPU / 32 GB Ram,0.688612,502.69,,,
Dynamic Postgres,Compute,Performance,EU-CENTRAL-1,8-16 CPU / 64GB RAM,1.377224,"1,005.37",,,
Dynamic Postgres,Compute,Performance,EU-CENTRAL-1,16-32 CPU / 128 GB RAM,2.754448,"2,010.75",,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-2,1-2 CPU / 8GB RAM,0.168369,122.91,,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-2,2-4 CPU/ 16 GB Ram,0.336738,245.82,,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-2,4-8 CPU / 32 GB Ram,0.673476,491.64,,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-2,8-16 CPU / 64GB RAM,1.346952,983.27,,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-2,16-32 CPU / 128 GB RAM,2.693904,"1,966.55",,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-1,1-2 CPU / 8GB RAM,0.168369,122.91,,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-1,2-4 CPU/ 16 GB Ram,0.336738,245.82,,,
Dynamic Postgres,Compute,Performance,AP-SOUTHEAST-1,4-8 CPU / 32 GB Ram,0.673476,491.64,,,
